#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Dec 19 00:45:48 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       trabSD_map.ncd
#OUTPUT FILE:      trabSD_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -5
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,mascara<15>,IBUF,IO_L01P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P3,entrada<0>,IBUF,IO_L01N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P4,mascara<13>,IBUF,IO_L02P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P5,mascara<5>,IBUF,IO_L02N_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P6,,,VCCINT,,,,,,,,1.2,,,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCO_3,,,3,,,,,2.50,,,,
P9,entrada<3>,IBUF,IO_L03P_3/LHCLK0,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P10,entrada<4>,IBUF,IO_L03N_3/LHCLK1,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P11,resultado<5>,IOB,IO_L04P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P12,entrada<6>,IBUF,IO_L04N_3/LHCLK3/IRDY2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P13,entrada<7>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,entrada<5>,IBUF,IO_L05P_3/LHCLK4/TRDY2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P16,entrada<1>,IBUF,IO_L05N_3/LHCLK5,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P17,peso<2>,IBUF,IO_L06P_3/LHCLK6,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P18,entrada<2>,IBUF,IO_L06N_3/LHCLK7,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P19,,,GND,,,,,,,,,,,,
P20,,,VCCO_3,,,3,,,,,2.50,,,,
P21,,,VCCAUX,,,,,,,,2.5,,,,
